rank,title,BGG_rating,avg_rating,list_price,amazon_price,year,game_id,min_players,max_players,playing_time_min,mechanics,Action Drafting,Action Points,Action Queue,Action Retrieval,Action/Event,Advantage Token,Alliances,Area Majority / Influence,Area Movement,Area-Impulse,Auction/Bidding,Auction: Dutch,Automatic Resource Growth,Campaign / Battle Card Driven,Card Play Conflict Resolution,Closed Drafting,Communication Limits,Contracts,Cooperative Game,Critical Hits and Failures,Deck Construction,"Deck, Bag, and Pool Building",Delayed Purchase,Dice Rolling,Die Icon Resolution,Enclosure,End Game Bonuses,Events,Follow,Force Commitment,Grid Coverage,Grid Movement,Hand Management,Hexagon Grid,Hidden Movement,Hidden Roles,Hidden Victory Points,Income,Increase Value of Unchosen Resources,Interrupts,Investment,King of the Hill,Layering,Legacy Game,Line of Sight,Loans,Map Addition,Market,Modular Board,Movement Points,Multi-Use Cards,Narrative Choice / Paragraph,Network and Route Building,Once-Per-Game Abilities,Open Drafting,Ownership,Passed Action Token,Pattern Building,Pick-up and Deliver,Player Elimination,Point to Point Movement,Push Your Luck,Race,Role Playing,Scenario / Mission / Campaign Game,Semi-Cooperative Game,Set Collection,Simulation,Simultaneous Action Selection,Solo / Solitaire Game,Sudden Death Ending,Tags,Take That,Team-Based Game,Tech Trees / Tech Tracks,Tile Placement,Track Movement,Trading,Traitor Game,Tug of War,Turn Order: Pass Order,Turn Order: Progressive,Turn Order: Stat-Based,Variable Phase Order,Variable Player Powers,Variable Set-up,Victory Points as a Resource,Voting,Worker Placement,"Worker Placement, Different Worker Types",Zone of Control
1,Brass: Birmingham,8.422,8.61,,79.95,2018,224517,2,4,120,"['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,Pandemic Legacy: Season 1,8.387,8.53,,70.0,2015,161936,2,4,60,"['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Gloomhaven,8.375,8.61,,248.99,2017,174430,1,4,120,"['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers']",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Ark Nova,8.319,8.53,74.95,58.99,2021,342942,1,4,150,"['End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,Twilight Imperium: Fourth Edition,8.241,8.61,131.99,116.16,2017,233078,3,6,480,"['Action Drafting', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
6,Terraforming Mars,8.223,8.37,79.99,62.85,2016,167791,1,5,120,"['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
7,Dune: Imperium,8.205,8.42,54.75,51.43,2020,316554,1,4,120,"['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Multi-Use Cards', 'Open Drafting', 'Race', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
8,Gloomhaven: Jaws of the Lion,8.191,8.47,49.99,36.86,2020,291457,1,4,120,"['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,War of the Ring: Second Edition,8.179,8.53,89.99,79.61,2011,115746,2,4,180,"['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Movement Points', 'Simulation', 'Team-Based Game', 'Variable Set-up']",1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Star Wars: Rebellion,8.17,8.42,,,2016,187645,2,4,240,"['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
11,Spirit Island,8.15,8.35,89.99,72.1,2017,162886,1,4,120,"['Action Retrieval', 'Area Majority / Influence', 'Automatic Resource Growth', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers', 'Variable Set-up']",0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
12,Gaia Project,8.131,8.4,99.95,83.99,2017,220308,1,4,150,"['End Game Bonuses', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Solo / Solitaire Game', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
13,Twilight Struggle,8.077,8.25,64.99,54.64,2005,12333,2,2,180,"['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War', 'Variable Set-up']",0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
14,Through the Ages: A New Story of Civilization,8.075,8.3,,69.95,2015,182028,2,4,120,"['Action Points', 'Auction: Dutch', 'Auction/Bidding', 'Events', 'Income', 'Open Drafting', 'Tags', 'Take That']",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Great Western Trail,8.051,8.22,,65.95,2016,193738,2,4,150,"['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Track Movement', 'Variable Set-up']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,The Castles of Burgundy,8.008,8.13,,49.99,2011,84876,2,4,90,"['Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Open Drafting', 'Pattern Building', 'Tile Placement', 'Turn Order: Stat-Based', 'Variable Set-up']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
17,Scythe,8.007,8.16,79.99,67.33,2016,169786,1,5,115,"['Area Majority / Influence', 'Card Play Conflict Resolution', 'Contracts', 'End Game Bonuses', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Solo / Solitaire Game', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource', 'Zone of Control']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
18,7 Wonders Duel,7.972,8.1,29.99,21.99,2015,173346,2,2,30,"['End Game Bonuses', 'Income', 'Layering', 'Market', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Sudden Death Ending', 'Tags', 'Tech Trees / Tech Tracks', 'Tug of War', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
19,Eclipse: Second Dawn for the Galaxy,7.969,8.48,,171.7,2020,246900,2,6,200,"['Alliances', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Income', 'Modular Board', 'Passed Action Token', 'Tech Trees / Tech Tracks', 'Variable Player Powers']",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,Brass: Lancashire,7.964,8.19,,76.99,2007,28720,2,4,120,"['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Nemesis,7.959,8.28,,193.0,2018,167355,1,5,180,"['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Interrupts', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,Concordia,7.949,8.1,64.99,54.82,2013,124361,2,5,100,"['Action Retrieval', 'Advantage Token', 'Auction: Dutch', 'End Game Bonuses', 'Hand Management', 'Hidden Victory Points', 'Investment', 'Movement Points', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Variable Set-up']",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,A Feast for Odin,7.949,8.18,,99.99,2016,177736,1,4,120,"['Automatic Resource Growth', 'Dice Rolling', 'Grid Coverage', 'Income', 'Push Your Luck', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Pass Order', 'Worker Placement']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24,Clank! Legacy: Acquisitions Incorporated,7.947,8.56,109.99,89.99,2019,266507,2,4,120,"['Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Events', 'Legacy Game', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Open Drafting', 'Pick-up and Deliver', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Variable Player Powers', 'Variable Set-up']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,Wingspan,7.916,8.06,65.0,44.99,2019,266192,1,5,70,"['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
